Study,Authors,First Author,Year,Venue,Reason for Multiple,Exclude All Multiple Entries,Exclude Save Age,Exclude Save Context,Exclude Save Age Context,Exclude Save SP,Total Length,Length Months,Length Bin,Data Points,Data Spacing,Unequal Specification,N Speakers,Participant Age,Participant Age Bin,Context,Immersion or SA?,Expanded Context,L1,L2,SP Construct,SP Task,SP Coding,Skill,Actual Task(s),Actual Outcome Measure(s),Statistical Test(s),N Raters,Rater Profile
1.1,Akiyama Saito,Akiyama,16,MLJ,SP Coding,No,No,No,No,No,1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,English,Japanese,Production - Specific,Production - Spontaneous,Production - Coded,Production,visual-based conversation,"Lemma errors, lemma inappropriateness, lexical variation and sophistication, moras per minute, morphological errors",MANOVA,,
1.2,Akiyama Saito,Akiyama,16,MLJ,SP Coding,Yes,Yes,Yes,Yes,No,1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,English,Japanese,Production - Global,Production - Spontaneous,Production - Rated,Production,visual-based conversation,"Comprehensibility, lexical features, speech rate, morphological accuracy on 1,000 point scale",MANOVA,4,Expert/Trained
2,Casillas,Casillas,20,LL,,No,No,No,No,No,8 weeks,2,0–4,8,Equal,,10,23.7,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,"Delayed repetition, text reading",Acoustic analysis (VOT word-initial Spanish stops),Mixed models,,
3,Derwing Munro,Derwing,13,LL,,No,No,No,No,No,7 years,84,24+,3,Unequal,,22,43.9,Adult,Second,,SL,Various,English,Production - Global,Production - Spontaneous,Production - Rated,Production,suitcase narrative,"comprehensibility, fluency, accentedness",ANOVA,44,Novice/Untrained
4.1,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",No,No,No,No,No,2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,34.33,Adult,Second,,SL,Mandarin,English,Production - Global,Production - Spontaneous,Production - Rated,Production,picture narration,Fluency 9-point likert scale,ANOVA,24,Expert/Trained
4.2,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",Yes,Yes,Yes,Yes,No,2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,34.33,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,picture narration,"Temporal measures (hesitations, corrections, repitions, false starts, etc.)",ANOVA,,
4.3,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",Yes,Yes,Yes,Yes,Yes,2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,38.5,Adult,Second,,SL,Slavic,English,Production - Global,Production - Spontaneous,Production - Rated,Production,picture narration,Fluency 9-point likert scale,ANOVA,24,Expert/Trained
4.4,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",Yes,Yes,Yes,Yes,Yes,2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,38.5,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,picture narration,"Temporal measures (hesitations, corrections, repitions, false starts, etc.)",ANOVA,,
5.1,Derwing Thomson Foote Munro,Derwing,12,CMLR,Groups (L1s),No,No,No,No,No,10 months,10,8–12,5,Equal,,40,33.6,Adult,Second,,SL,Mandarin,English,Perception,Perception,Perception,Perception,various perception tasks,perceptual performance (percent correct),ANOVA,,
5.2,Derwing Thomson Foote Munro,Derwing,12,CMLR,Groups (L1s),Yes,Yes,Yes,Yes,Yes,10 months,10,8–12,5,Equal,,40,39.5,Adult,Second,,SL,Slavic,English,Perception,Perception,Perception,Perception,various perception tasks,perceptual performance (percent correct),ANOVA,,
6,Du,Du,13,MLJ,,No,No,No,No,No,4 months,4,0–4,4,Equal,,29,20.5,Adult,Second,Yes,SL SA,English,Mandarin,Production - Specific,Production - Spontaneous,Production - Coded,Production,interview/'friendly conversation',"Fluency (Speech rate, total words spoken & longest turn)",MANOVA,,
7,Gulinello,Gulinello,9,PSLLT,,No,No,No,No,No,1 year,12,8–12,3,,,5,,Adult,Second,,SL,Spanish,English,Production - Specific,Production - Controlled,Production - Coded,Production,sentence reading,"F1, F2, and duration of vowels",Discriminant,,
8,Holliday,Holliday,15,JPhon,,No,No,No,No,No,1 year,12,8–12,3,Equal,,6,21.5,Adult,Second,,SL,Mandarin,Korean,Production - Specific,Production - Controlled,Production - Coded,Production,word list reading,VOT & f0,ANOVA,,
9,Kennedy Foote Buss,Kennedy,15,TESOL,,No,No,No,No,No,2.3 years,28,24+,2,Equal,"year 0, year 2.3 (averaged)",7,22,Adult,Second,,SL,Various,English,Production - Global,Production - Spontaneous,Production - Rated,Production,mock job interview,comprehensibility (9-point likert scale),t-test,19,Novice/Untrained
10.1,Kim Clayards Goad,Kim,18,JPhon,Groups (Age),No,No,No,No,No,1 year,12,8–12,4,Equal,,27,39.6,Adult,Second,,SL,Korean,English,Perception,Perception,Perception,Perception,word recognition,perception of English vowel contrast (/i/-/?/ and /e/-/æ/),Mixed models,,
10.2,Kim Clayards Goad,Kim,18,JPhon,Groups (Age),Yes,No,Yes,No,Yes,1 year,12,8–12,4,Equal,,27,8.9,Child,Second,,SL,Korean,English,Perception,Perception,Perception,Perception,word recognition,perception of English vowel contrast (/i/-/?/ and /e/-/æ/),Mixed models,,
11,Merino Lasagabaster,Merino,17,IJAL,,No,No,No,No,No,1 year,12,8–12,2,Equal,,393,11.5,Adolescent,Foreign,,FL,Spanish,English,Production - Global,Production - Spontaneous,Production - Rated,Production,picture description task,"overall linguistic proficiency (100pt scale, 5 sub groups)",ANOVA,2,Expert/Trained
12.1,Munro Derwing,Munro,8,LL,"Groups (L1s), SP Coding",No,No,No,No,No,1 year,12,8–12,6,Equal,,44,33.2,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Coded,Production,Word repetition,English vowel intelligibility,ANOVA,4,Expert/Trained
12.2,Munro Derwing,Munro,8,LL,"Groups (L1s), SP Coding",Yes,Yes,Yes,Yes,No,1 year,12,8–12,6,Equal,,44,33.2,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Rated,Production,Word repetition,English vowel intelligibility (5-point scale),ANOVA,13,Novice/Untrained
12.3,Munro Derwing,Munro,8,LL,"Groups (L1s), SP Coding",Yes,Yes,Yes,Yes,Yes,1 year,12,8–12,6,Equal,,44,38.6,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Coded,Production,Word repetition,English vowel intelligibility,ANOVA,4,Expert/Trained
12.4,Munro Derwing,Munro,8,LL,"Groups (L1s), SP Coding",Yes,Yes,Yes,Yes,Yes,1 year,12,8–12,6,Equal,,44,38.6,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Rated,Production,Word repetition,English vowel intelligibility (5-point scale),ANOVA,13,Novice/Untrained
13.1,Munro Derwing Saito,Munro,13,PSLLT,"Groups (L1s), Outcomes",No,No,No,No,No,7 years,84,24+,2,Unequal,"year 1, year 7",31,,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Coded,Production,word repetition,intelligibility (percent correct),ANOVA,3,Expert/Trained
13.2,Munro Derwing Saito,Munro,13,PSLLT,"Groups (L1s), Outcomes",Yes,Yes,Yes,Yes,No,7 years,84,24+,2,Unequal,"year 1, year 8",31,,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Coded,Production,word repetition,Acoustic properties,Descriptive,,
13.3,Munro Derwing Saito,Munro,13,PSLLT,"Groups (L1s), Outcomes",Yes,Yes,Yes,Yes,Yes,7 years,84,24+,2,Unequal,"year 1, year 9",31,,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Coded,Production,word repetition,intelligibility (percent correct),ANOVA,3,Expert/Trained
13.4,Munro Derwing Saito,Munro,13,PSLLT,"Groups (L1s), Outcomes",Yes,Yes,Yes,Yes,Yes,7 years,84,24+,2,Unequal,"year 1, year 10",31,,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Coded,Production,word repetition,Acoustic properties,Descriptive,,
14.1,Munro Derwing Thomson,Munro,15,IRAL,Groups (L1s),No,No,No,No,No,2 years,24,12–24,4,Unequal,"2 months, 4 months, 10 months, 2 years",40,34,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Rated,Production,word repetition,Inteligibility (consonant and consonant clusters at onset and coda position),ANOVA,2,Expert/Trained
14.2,Munro Derwing Thomson,Munro,15,IRAL,Groups (L1s),Yes,Yes,Yes,Yes,Yes,2 years,24,12–24,4,Unequal,"2 months, 4 months, 10 months, 2 years",40,38.5,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Rated,Production,word repetition,Inteligibility (consonant and consonant clusters at onset and coda position),ANOVA,2,Expert/Trained
15,Nagle,Nagle,17,JSLP,,No,No,No,No,No,1 year,12,8–12,5,Equal,,26,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,"picture task, reading task",Acoustic analysis (Spanish [?]),Mixed models,,
16.1,Nagle,Nagle,18,LL,Perception-Production,No,No,No,No,No,2 semesters,8,4–8,5,Equal,,26,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,Reading task,VOT,Mixed models,,
16.2,Nagle,Nagle,18,LL,Perception-Production,Yes,Yes,Yes,Yes,No,2 semesters,8,4–8,5,Equal,,26,,Adult,Foreign,,FL,English,Spanish,Perception,Perception,Perception,Perception,identification,d' perceptual sensitivity,Mixed models,,
17,Nagle,Nagle,18,MLJ,,No,No,No,No,No,2 semesters,8,4–8,5,Equal,,26,,Adult,Foreign,,FL,English,Spanish,Production - Global,Production - Controlled,Production - Rated,Production,picture description task,Accent/Comprehensibility (9-point scale),Mixed models,18,Novice/Untrained
18,Nagle,Nagle,19,AL,,No,No,No,No,No,2 semesters,8,4–8,5,Equal,,26,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,"picture description, reading",Spanish /b/ /p/ VOT,Mixed models,,
19.1,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",No,No,No,No,No,1 semester,4,0–4,2,Equal,,30,19.2,Adult,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Production,timed pictured description ,"comprehensibility rating (0= heavily accented, 1,000= little accent)",t-test,5,Novice/Untrained
19.2,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",Yes,Yes,Yes,Yes,No,1 semester,4,0–4,2,Equal,,30,19.2,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Production,timed pictured description ,"Segmentals, prosody, fluency ",t-test,5,Expert/Trained
19.3,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",Yes,Yes,Yes,Yes,No,1 semester,4,0–4,2,Equal,,30,19.2,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,timed pictured description ,"Global, phon., temporal, lexical, grammatical gain scorea",t-test,5,Expert/Trained
19.4,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",Yes,Yes,Yes,Yes,Yes,1 semester,4,0–4,2,Equal,,30,18.9,Adult,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Production,timed pictured description ,"comprehensibility rating (0= heavily accented, 1,000= little accent)",t-test,5,Novice/Untrained
19.5,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",Yes,Yes,Yes,Yes,Yes,1 semester,4,0–4,2,Equal,,30,18.9,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Production,timed pictured description ,"Segmentals, prosody, fluency ",t-test,5,Expert/Trained
19.6,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",Yes,Yes,Yes,Yes,Yes,1 semester,4,0–4,2,Equal,,30,18.9,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,timed pictured description ,"Global, phon., temporal, lexical, grammatical gain scorea",t-test,5,Expert/Trained
20,Saito Hanzawa,Saito,18,LTR,,No,No,No,No,No,2 semesters,8,4–8,3,Equal,,40,18.5,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Production,timed pictured description ,"Lexical appropriatness & richness, grammatical accuracy & complexity",t-test,5,Expert/Trained
21,Saito,Saito,19,SLR,,No,No,No,No,No,1 semester,4,0–4,2,Equal,,40,,Adult,Foreign,,FL,Japanese,English,Production - Specific,Both,Production - Coded,Production,"word & sentence reading, timed picture description",linguistic awarness (explicit attention and articulatory knowledge),ANOVA,,
22,Saito Dewaele Abe ln'nami,Saito,18,LL,,No,No,No,No,No,1 semester,4,0–4,2,Equal,,108,15.5,Adolescent,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Production,Telephone Standard Speaking Test,comprehensibility (9-point scale),Correlation,5,Expert/Trained
23,Saito Dewaele Hanzawa,Saito,17,LS,,No,No,No,No,No,1 semester,4,0–4,2,Equal,,40,18.5,Adult,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Production,timed pictured description ,"perceived comprehensibility and accentedness (0= hard to understand 1,000= easy to understand)",ANOVA,5,Novice/Untrained
24.1,Saito Suzukida Sun,Saito,19,SSLA,SP Construct,No,No,No,No,No,2 semesters,8,4–8,3,Equal,,40,18.5,Adult,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Production,timed pictured description ,"comprehensibility 1,000 point scale",Descriptive,5,Novice/Untrained
24.2,Saito Suzukida Sun,Saito,19,SSLA,SP Construct,Yes,Yes,Yes,Yes,No,2 semesters,8,4–8,3,Equal,,40,18.5,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,timed pictured description ,"segmental, syllabic, prosodic analysis",Descriptive,,
25.1,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",No,No,No,No,No,1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,picture description task,lexical analysis,ANOVA,,
25.2,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",Yes,Yes,Yes,Yes,No,1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Production,picture description task,pronunciation analysis ,ANOVA,8,Expert/Trained
25.3,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",Yes,Yes,Yes,Yes,Yes,1 semester,4,0–4,2,Equal,,30,18.8,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,picture description task,lexical analysis,ANOVA,,
25.4,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",Yes,Yes,Yes,Yes,Yes,1 semester,4,0–4,2,Equal,,30,18.8,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Production,picture description task,pronunciation analysis ,ANOVA,8,Expert/Trained
25.5,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",Yes,Yes,Yes,Yes,Yes,1 semester,4,0–4,2,Equal,,30,18.6,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,picture description task,lexical analysis,ANOVA,,
25.6,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",Yes,Yes,Yes,Yes,Yes,1 semester,4,0–4,2,Equal,,30,18.6,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Production,picture description task,pronunciation analysis ,ANOVA,8,Expert/Trained
26.1,Sturm,Sturm,19,FLA,Studies,No,No,No,No,No,4 semesters,16,8–12,8,Equal,,4,,Adult,Foreign,,FL,English,French,Production - Specific,Production - Controlled,Production - Coded,Production,reading-based self recording,# of correctly pronounced syllables,Descriptive,,
26.2,Sturm,Sturm,19,FLA,Studies,No,No,No,No,No,2 semesters,8,4–8,4,Equal,,53,,Adult,Foreign,,FL,English,French,Production - Specific,Production - Controlled,Production - Coded,Production,reading-based self recording,# of correctly pronounced syllables,Descriptive,,
27.1,Trofimovich Lightbown Halter Song,Trofimovich,9,SSLA,"Groups (Class Type), SP Construct",No,No,No,No,No,1 year,10,8–12,2,Equal,,74,8.5,Child,Foreign,,FL,French,English,Production - Specific,Production - Controlled,Production - Coded,Production,elicited imitation (hear a sentence and repeat it),"repetition accuracy, pronunciation error ratio, speech rate",ANOVA,,
27.2,Trofimovich Lightbown Halter Song,Trofimovich,9,SSLA,"Groups (Class Type), SP Construct",Yes,Yes,Yes,Yes,No,1 year,10,8–12,2,Equal,,74,8.5,Child,Foreign,,FL,French,English,Production - Global,Production - Controlled,Production - Rated,Production,elicited imitation (hear a sentence and repeat it),"accentedness, comprehensibility, and fluency on 9-point scales",ANOVA,20,Expert/Trained
27.3,Trofimovich Lightbown Halter Song,Trofimovich,9,SSLA,"Groups (Class Type), SP Construct",Yes,Yes,Yes,Yes,Yes,1 year,10,8–12,2,Equal,,74,8.3,Child,Foreign,,FL,French,English,Production - Specific,Production - Controlled,Production - Coded,Production,elicited imitation (hear a sentence and repeat it),"repetition accuracy, pronunciation error ratio, speech rate",ANOVA,,
27.4,Trofimovich Lightbown Halter Song,Trofimovich,9,SSLA,"Groups (Class Type), SP Construct",Yes,Yes,Yes,Yes,Yes,1 year,10,8–12,2,Equal,,74,8.3,Child,Foreign,,FL,French,English,Production - Global,Production - Controlled,Production - Rated,Production,elicited imitation (hear a sentence and repeat it),"accentedness, comprehensibility, and fluency on 9-point scales",ANOVA,20,Expert/Trained
28.1,Baker-Smemoe Haslam,Baker-Smemoe,13,AL,Groups (SL vs. FL),No,No,No,No,No,10 weeks,2.5,0–4,2,Equal,,31,25.79,Adult,Second,,SL,Various,English,Production - Global,Production - Controlled,Production - Rated,Production,"sentence reading, open-ended response","comprehensibility scale (1= very difficult to understand, 7= near native)",ANOVA,2,Expert/Trained
28.2,Baker-Smemoe Haslam,Baker-Smemoe,13,AL,Groups (SL vs. FL),Yes,Yes,No,No,Yes,10 weeks,2.5,0–4,2,Equal,,31,25.41,Adult,Foreign,,FL,Mandarin,English,Production - Global,Production - Controlled,Production - Rated,Production,"sentence reading, open-ended response","comprehensibility scale (1= very difficult to understand, 7= near native)",ANOVA,2,Expert/Trained
29,Buss Cardoso Kennedy,Buss,15,PSLLT,,No,No,No,No,No,6 months,6,4–8,4,Equal,,4,24.5,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,short presentation,"paratones, mid-utterance pitch boundaries",Descriptive,,
30.1,Casillas,Casillas,19,LS,Perception-Production,No,No,No,No,No,8 weeks,2,0–4,8,Equal,,10,23.7,Adult,Second,Yes,SL SA,English,Spanish,Perception,Perception,Perception,Perception,label vot continuum,perceptual boundary,Mixed models,,
30.2,Casillas,Casillas,19,LS,Perception-Production,Yes,Yes,Yes,Yes,No,8 weeks,2,0–4,8,Equal,,10,23.7,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,delayed word repetition,vot,Mixed models,,
31,Chang,Chang,12,JPhon,,No,No,No,No,No,5 weeks,1.25,0–4,5,Equal,,19,22.1,Adult,Second,Yes,SL SA,English,Korean,Production - Specific,Production - Controlled,Production - Coded,Production,word reading,"acoustic analysis (word-initial stop VOT, onset f0, f1 f2 at vowel midpoint) & statistical",Mixed models,,
32,Chang,Chang,13,JPhon,,No,No,No,No,No,5 weeks,1.25,0–4,5,Equal,,11,23,Adult,Foreign,Yes,FL,English,Korean,Production - Specific,Production - Controlled,Production - Coded,Production,word reading,"acoustic analysis (VOT word-initial plosives, vowels)",Mixed models,,
33.1,Chang,Chang,19,JPhon,Groups (L2 Use),No,No,No,No,No,1 year,12,8–12,6,Unequal,"1-5 weeks, week 52",17,24.4,Adult,Second,,SL,English,Korean,Production - Specific,Production - Controlled,Production - Coded,Production,word reading,"acoustic analysis (word-initial stop VOT, onset f0, f1 f2 at vowel midpoint) & statistical",Mixed models,,
33.2,Chang,Chang,19,JPhon,Groups (L2 Use),Yes,Yes,Yes,Yes,Yes,1 year,12,8–12,6,Unequal,"1-5 weeks, week 52",17,23.6,Adult,Second,,SL,English,Korean,Production - Specific,Production - Controlled,Production - Coded,Production,word reading,"acoustic analysis (word-initial stop VOT, onset f0, f1 f2 at vowel midpoint) & statistical",Mixed models,,
34,George,George,14,FLA,,No,No,No,No,No,1 semester,4,0–4,3,Equal,,25,20,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,"word reading, passage reading, guided conversation",frequency measure ([?]and [x]),ANOVA,,
35,Huensch Tracy-Ventura,Huensch,17,MLJ,,No,No,No,No,No,2 years,24,12–24,6,Unequal,"(1) before, (3) during, (2) after study abroad",24,20.6,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,picture-based narrative,Utterance fluency,ANOVA,,
36.1,Knouse,Knouse,13,FLA,Groups (SL vs. FL),No,No,No,No,No,6 weeks,1.5,0–4,2,Equal,,15,,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,"text reading, open-ended response",acoustic measure (production of regional /?/),Descriptive,,
36.2,Knouse,Knouse,13,FLA,Groups (SL vs. FL),Yes,No,No,No,Yes,6 weeks,1.5,0–4,2,Equal,,10,,Adult,Foreign,Yes,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,"text reading, open-ended response",acoustic measure (production of regional /?/),Descriptive,,
37.1,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),No,Yes,No,No,No,3 months,3,0–4,2,Equal,"pre-program, post-program",28,10.4,Adolescent,Second,Yes,SL SA,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,Production,"interview, story narration","prevelance of foreign accent (1=no FA, 7= very strong FA)",ANOVA,28,Novice/Untrained
37.2,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),Yes,No,No,No,Yes,3 months,3,0–4,2,Equal,"pre-departure, post-departure",27,10.4,Adolescent,Foreign,Yes,FL,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,Production,"interview, story narration","prevelance of foreign accent (1=no FA, 7= very strong FA)",ANOVA,28,Novice/Untrained
37.3,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),Yes,Yes,Yes,No,Yes,3 months,3,0–4,2,Equal,"pre-program, post-program",28,22.36,Adult,Second,Yes,SL SA,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,Production,"interview, story narration","prevelance of foreign accent (1=no FA, 7= very strong FA)",ANOVA,28,Novice/Untrained
37.4,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),Yes,No,Yes,No,Yes,3 months,3,0–4,2,Equal,"pre-departure, post-departure",27,22.36,Adult,Foreign,Yes,FL,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,Production,"interview, story narration","prevelance of foreign accent (1=no FA, 7= very strong FA)",ANOVA,28,Novice/Untrained
38.1,Saito Sun Tierney,Saito,20,AP,SP Coding (Rated and Coded),No,Yes,Yes,Yes,No,8 months,8,4–8,2,Equal,,30,23.5,Adult,Second,Yes,SL SA,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,Timed Pictured Description ,"Breakdown, Speed",Mixed models,2,Expert/Trained
38.2,Saito Sun Tierney,Saito,20,AP,SP Coding (Rated and Coded),Yes,No,No,No,No,8 months,8,4–8,2,Equal,,30,23.5,Adult,Second,Yes,SL SA,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Rated,Production,Timed Pictured Description ,"Segmental, Word Stress, Intonation, Tempo",Mixed models,5,Expert/Trained
39,Zielinski Pryor,Zielinski,20,JSLP,,No,No,No,No,No,10 months,10,8–12,4,Equal,,14,,Adult,Second,Yes,SL,Various,English,Production - Global,Production - Spontaneous,Production - Rated,Production,"Interview, Prompt Questions","Comprehensibility (5-point scale), Patterns of Language Use",Descriptive,10,Expert/Trained
40.1,Nagle,Nagle,20,LL,"Perception-Production, SP Task",No,No,No,No,No,8 months,8,4–8,8,Equal,,30,,Adult,Foreign,,FL,English,Spanish,Perception,Perception,Perception,Perception,Oddity,Perceptual Sensitivity (A'),Mixed models,,
40.2,Nagle,Nagle,20,LL,"Perception-Production, SP Task",Yes,Yes,Yes,Yes,No,8 months,8,4–8,8,Equal,,30,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,Delayed Repetition,VOT,Mixed models,,
40.3,Nagle,Nagle,20,LL,"Perception-Production, SP Task",Yes,Yes,Yes,Yes,No,8 months,8,4–8,8,Equal,,30,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Spontaneous,Production - Coded,Production,Picture Description,VOT,Mixed models,,
